,0
1077,276419.9540000001
1078,266872.32100000005
1079,273450.8540000001
1080,282840.26300000004
1081,280210.8140000001
1082,280558.2060000001
1083,275627.3990000001
1084,269104.98000000016
1085,260969.88600000012
1086,253677.9710000001
1087,259158.29500000004
1088,262836.20800000004
1089,264873.42800000013
1090,268290.3430000001
1091,280975.70600000006
1092,274013.48500000004
1093,279338.739
1094,280448.12000000005
1095,276711.61500000005
1096,278079.61000000004
1097,280190.2530000001
1098,284061.393
1099,285293.96900000004
1100,285625.39400000015
1101,296299.77300000004
1102,308369.3180000001
1103,312193.4700000001
1104,312623.8820000001
1105,324131.03400000004
1106,321211.14900000015
1107,322077.4550000001
1108,325885.5060000001
1109,314765.3500000001
1110,309106.7650000001
1111,323109.81600000005
1112,319456.297
1113,314779.5650000001
1114,315060.5260000001
1115,316435.552
1116,319346.09300000005
1117,319477.44800000003
1118,324120.778
1119,327783.90400000004
1120,311964.022
1121,312617.8490000001
1122,321178.973
1123,322399.88000000006
1124,337490.3570000001
1125,338420.1900000002
1126,337329.8100000001
1127,339772.1210000001
1128,333113.73800000007
1129,328454.52800000005
1130,315422.216
1131,317010.32600000006
1132,301910.2789999999
1133,298117.23600000003
1134,290617.2880000001
1135,284816.47500000003
1136,280634.2310000001
1137,280146.951
1138,289600.9400000001
1139,277914.96300000005
1140,291261.1630000001
1141,282639.0840000001
1142,280564.992
1143,275825.48000000004
1144,276151.0850000001
1145,282811.0200000001
1146,276892.87400000007
1147,288026.5210000001
1148,292373.9520000001
1149,290771.1830000001
1150,285630.833
1151,285919.2520000001
1152,288632.9500000001
1153,282641.243
1154,285439.5180000001
1155,288990.04899999994
1156,286949.0520000001
1157,283908.7390000001
1158,278029.4010000001
1159,269030.714
1160,272754.9640000001
1161,286302.4990000001
1162,286925.7420000001
1163,295981.33800000005
1164,302393.33100000006
1165,303247.2270000001
1166,306284.119
1167,304374.4410000001
1168,302862.21700000006
1169,301781.9410000001
1170,306064.8260000001
1171,320528.27
1172,325941.7100000001
1173,323955.18100000004
1174,327302.7540000001
1175,325228.2600000001
1176,324699.1060000001
1177,335901.6520000001
1178,324889.0940000001
1179,326631.4460000001
1180,319819.8400000001
1181,320819.2110000001
1182,315985.7120000001
1183,319712.1740000001
1184,314952.657
1185,313849.91700000013
1186,315168.43500000006
1187,321103.0490000001
1188,319513.4590000001
1189,321604.58300000004
1190,322842.15600000013
1191,321017.91000000003
1192,329164.642
1193,333171.76900000003
1194,331462.3460000002
1195,336146.02300000004
1196,332286.42000000004
1197,325802.0220000001
1198,325925.67100000015
1199,325445.4720000002
1200,320614.8660000001
1201,320297.006
1202,326570.1350000001
1203,328990.0130000001
1204,330078.3970000001
1205,333510.8590000002
1206,337301.0620000001
1207,333077.6870000001
1208,337057.26000000007
1209,337425.32500000007
1210,344158.03400000016
1211,347735.2360000001
1212,350821.20700000005
1213,346727.66400000016
1214,355482.35699999996
1215,366660.68400000007
1216,362681.2160000001
1217,360349.89300000016
1218,365722.6190000002
1219,366598.07600000006
1220,378841.22900000017
1221,392179.0360000001
1222,401283.66900000005
1223,400189.32100000005
1224,394760.54000000004
1225,388644.7250000001
1226,396912.58500000014
1227,403220.50100000016
1228,408983.75500000006
1229,419477.89700000006
1230,423485.97400000016
1231,423389.97000000015
1232,428815.562
1233,425986.3400000001
1234,435778.0460000002
1235,431854.9430000001
1236,434600.6210000001
1237,438997.81200000015
1238,423439.532
1239,423673.17000000016
1240,421405.59300000017
1241,423932.37600000016
1242,434349.42800000013
1243,434381.7780000002
1244,436776.5440000001
1245,434622.9310000001
1246,438407.93800000014
1247,432886.64800000004
1248,444801.1510000001
1249,445916.2660000002
1250,448369.55000000005
1251,449741.59300000005
1252,459468.8810000001
1253,463111.26100000006
1254,461610.4800000001
1255,464259.7390000002
1256,458880.9560000001
1257,440902.6750000001
1258,434290.45599999995
1259,440206.481
1260,435682.435
1261,438787.356
1262,428727.36900000006
1263,425667.88800000004
1264,433682.10000000003
1265,440927.4660000001
1266,452611.1810000001
1267,445254.8730000001
1268,434502.27700000006
1269,436666.5640000001
1270,422333.51100000006
1271,427914.24800000014
1272,430795.6140000001
1273,440038.413
1274,446996.168
1275,455154.01500000013
1276,460770.38900000014
1277,463456.91800000006
1278,472271.6860000001
1279,480736.0730000001
1280,484438.492
1281,451632.3240000001
1282,444444.716
1283,447473.86900000006
1284,455046.62300000014
1285,474408.04800000007
1286,478190.801
1287,479778.369
1288,467883.0170000001
1289,462609.3860000001
1290,448864.2780000001
1291,456983.05899999995
1292,478575.29700000014
1293,486700.70000000007
1294,483567.36600000004
1295,492814.3700000001
1296,497449.0940000001
1297,491694.84
1298,498578.93100000004
1299,493194.47100000014
1300,482433.97000000015
1301,463643.78400000004
1302,463213.3810000001
1303,474273.1240000001
1304,470457.17200000014
1305,468690.8310000001
1306,467608.16500000015
1307,470612.2300000001
1308,466266.8910000001
1309,466729.01500000013
1310,465537.1920000001
1311,461493.15000000014
1312,468026.9980000001
1313,464209.8760000001
1314,456910.0760000001
1315,463710.49000000005
1316,466876.98400000005
1317,470073.30800000014
1318,469123.6350000002
1319,477381.094
1320,491008.11300000007
1321,491939.8150000001
1322,484155.2250000001
1323,479154.3680000001
1324,477156.8810000001
1325,467385.72900000017
1326,455520.5760000001
1327,437592.01300000015
1328,440658.038
1329,453902.99400000006
1330,446630.655
1331,459752.3000000002
1332,432329.4590000001
1333,452645.0460000001
1334,440857.16900000005
1335,438707.8740000001
1336,426049.2770000001
1337,436734.6010000001
1338,439304.44200000016
1339,439357.4110000001
1340,454322.1840000001
1341,452934.1810000001
1342,461619.6620000001
1343,464784.09500000003
1344,462397.44900000014
1345,461357.43400000007
1346,450647.7330000002
1347,448220.20600000006
1348,460794.7100000001
1349,460193.6410000001
1350,472616.25200000015
1351,488173.17700000014
1352,486592.3420000001
1353,497991.09100000013
1354,495560.93600000016
1355,492495.433
1356,502418.0960000001
1357,507544.088
1358,507980.0860000001
1359,508118.329
1360,510111.5310000001
1361,501217.89200000017
1362,505531.21400000004
1363,501306.87700000004
1364,495456.39300000016
1365,505592.59500000003
1366,500628.32200000004
1367,506238.91300000006
1368,506301.34100000013
1369,514470.3650000001
1370,522548.7720000002
1371,524920.29
1372,522791.5500000001
1373,525583.1440000001
1374,528412.6680000001
1375,526646.1060000001
1376,535206.2870000001
1377,534689.937
1378,543457.9110000001
1379,546823.0750000001
1380,540118.3360000002
1381,543442.3620000001
1382,556441.3260000001
1383,565187.2820000002
1384,569728.234
1385,580256.6090000003
1386,583968.4440000001
1387,578655.978
1388,583581.3790000001
1389,586686.1260000002
1390,591894.9250000002
1391,584608.594
1392,603651.1030000001
1393,606024.7790000002
1394,595260.7080000001
1395,592685.5020000001
1396,589981.452
1397,595209.498
1398,603737.2210000001
1399,615375.3640000002
1400,620608.429
1401,619196.7000000001
1402,610876.962
1403,610954.2680000002
1404,606460.9420000002
1405,595085.7190000002
1406,602154.55
1407,604413.3120000003
1408,596818.9760000003
1409,606058.2700000001
1410,612858.3770000002
1411,618783.3310000004
1412,607929.6310000002
1413,604374.6350000001
1414,594828.226
1415,603242.582
1416,612986.9010000002
1417,611201.1110000001
1418,612253.0340000002
1419,616140.803
1420,614285.9180000002
1421,620404.329
1422,629777.4450000002
1423,654711.7260000003
1424,661290.0600000002
1425,656616.2030000001
1426,668304.8130000003
1427,675804.1040000002
1428,676799.5940000002
1429,682086.0870000002
1430,672708.7620000003
1431,664880.1720000003
1432,657529.8130000002
1433,649240.6680000003
1434,665362.8850000002
1435,666947.7830000002
1436,651184.9960000002
1437,656048.1860000001
1438,655383.2900000002
1439,660442.075
1440,669423.6660000002
1441,682720.6030000002
1442,689966.7540000002
1443,697965.2450000001
1444,698444.9950000002
1445,711157.3010000003
1446,701170.2379999999
1447,682730.5780000001
1448,667970.0060000003
1449,694283.2110000002
1450,689783.7760000003
1451,695717.0810000001
1452,659338.2380000001
1453,656543.6420000002
1454,670547.4770000004
1455,678264.9660000002
1456,668113.0840000004
1457,676642.1910000002
1458,659244.1070000003
1459,672469.5280000003
1460,696247.8020000003
1461,699544.6230000001
1462,712210.9370000003
1463,697587.5850000002
1464,710146.2220000002
1465,732108.8049999999
1466,736628.6340000002
1467,788072.5040000002
1468,786146.6210000002
1469,782199.9790000003
1470,781895.9050000001
1471,790193.0320000005
1472,805149.8999999999
1473,818946.4280000003
1474,821991.87
1475,835601.4240000002
1476,825891.5210000001
1477,822004.1240000004
1478,847982.585
1479,860503.322
1480,883243.813
